TRACE: 0.9143214574343509
REF: VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.0, volat=1.3104432919128775]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=0.9999999999999992, volat=1.4069542897459648]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.5999999999999996, volat=1.4103790272880257]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.2999999999999994, volat=1.411208153646629]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.200000000000001, timeMuMult=1.5999999999999996, volat=1.4119270636382408]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.4000000000000012, timeMuMult=1.2999999999999994, volat=1.414755059669504]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.1999999999999993, volat=1.4182351984179067]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=1.7999999999999998, volat=1.421120988134034]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=1.0999999999999992, volat=1.4211986082327916]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=1.4999999999999996, volat=1.4215613856648923]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=1.9, volat=1.4221698407858407]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.8000000000000016, timeMuMult=2.0, volat=1.4241746244892233]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.8000000000000016, timeMuMult=1.5999999999999996, volat=1.424756625179802]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.200000000000001, timeMuMult=1.4999999999999996, volat=1.4292302974198758]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=1.3999999999999995, volat=1.4323254813207622]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=0.9999999999999992, volat=1.4385357905668654]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.4999999999999996, volat=1.4385552604063263]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.9000000000000017, timeMuMult=1.7999999999999998, volat=1.4401416592803178]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=0.8999999999999992, volat=1.4401564994363998]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.3999999999999995, volat=1.441143652344878]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.6000000000000014, timeMuMult=1.5999999999999996, volat=1.4428067647060967]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.2999999999999994, volat=1.4468471055914478]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=0.7999999999999993, volat=1.4473171110982868]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.9000000000000017, timeMuMult=1.4999999999999996, volat=1.4538580230750398]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=1.4999999999999996, volat=1.4605739197519576]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.7999999999999998, volat=1.4606997852848675]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.1999999999999993, volat=1.4635219213711623]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.2999999999999994, volat=1.4652907702356321]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.0999999999999992, volat=1.4670939881711955]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=1.1999999999999993, volat=1.467387097659271]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.200000000000001, timeMuMult=1.3999999999999995, volat=1.4681088429393512]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=1.0999999999999992, volat=1.4696682859893808]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.0999999999999992, volat=1.4703051319963536]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=0.8999999999999992, volat=1.481905744539025]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.9000000000000017, timeMuMult=1.9, volat=1.485003995561689]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=0.7999999999999993, volat=1.4855913007164363]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.300000000000001, timeMuMult=1.2999999999999994, volat=1.486377384056343]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.8000000000000016, timeMuMult=1.4999999999999996, volat=1.489701315539257]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=0.49999999999999933, volat=1.4918653307575438]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=0.49999999999999933, volat=1.493980440542444]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.6000000000000014, timeMuMult=1.3999999999999995, volat=1.496033232333305]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.200000000000001, timeMuMult=1.1999999999999993, volat=1.4986372117730102]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.4000000000000004, timeMuMult=0.8999999999999992, volat=1.501163970672852]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=0.9999999999999992, volat=1.5024512518813873]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=1.2999999999999994, volat=1.5046061161605824]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=0.7999999999999993, volat=1.509424318901684]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=0.9999999999999992, volat=1.5100832333235195]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=0.9999999999999992, volat=1.5102887924246948]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.0999999999999992, volat=1.512081242777351]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.5000000000000004, timeMuMult=0.9999999999999992, volat=1.5127180172079444]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=0.5999999999999993, volat=1.51391708042325]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.1999999999999993, volat=1.516059246210906]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.2999999999999994, volat=1.5165182783750815]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.3999999999999995, volat=1.5169374047922215]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.200000000000001, timeMuMult=1.2999999999999994, volat=1.5185501369143455]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=1.5999999999999996, volat=1.528600745831644]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=0.5999999999999993, volat=1.532818587066909]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.3000000000000003, timeMuMult=0.6999999999999993, volat=1.5396041485620475]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=0.5999999999999993, volat=1.54047060449513]
